i,j,x
1236,52,1
1237,65,1
1238,17,1
1238,20,1
1239,19,1
1240,1,1
1240,2,1
1240,18,1
1240,20,1
1241,7,1
1241,29,1
1242,20,1
1242,23,1
1242,57,1
1242,61,1
1243,18,1
1243,20,1
1244,19,2
1244,20,1
1244,22,1
1244,24,1
1244,26,1
1245,20,1
1246,16,1
1247,51,1
1248,15,1
1248,20,1
1248,32,1
1249,7,1
1249,8,1
1249,20,2
1249,62,1
1250,60,1
1253,31,1
1254,19,2
1255,23,1
1255,57,1
1255,61,1
1256,12,1
1256,20,2
1256,42,1
1257,6,1
1257,10,1
1258,9,1
1258,19,1
1259,20,1
1260,19,1
1260,20,1
1260,22,1
1260,23,1
1261,16,1
1263,20,1
1264,16,1
1265,43,1
1265,57,1
1266,19,1
1266,20,2
1266,23,1
1267,17,1
1267,20,1
1268,19,1
1268,22,1
1269,46,1
1269,63,1
1270,1,1
1270,4,1
1270,23,1
1270,32,1
1270,60,1
1271,2,1
1271,20,1
1272,17,1
1273,7,1
1273,8,1
1273,20,3
1273,62,1
1274,52,1
1275,23,1
1276,43,1
1276,57,1
1277,1,1
1277,18,1
1277,20,1
1278,7,1
1278,18,1
1278,47,1
1278,57,1
1280,20,1
1282,16,1
1282,20,1
1282,21,2
1282,23,1
1282,46,1
1282,51,1
1282,63,1
1284,20,1
1285,17,1
1285,26,1
1288,20,2
1290,20,1
1290,46,1
1290,63,1
1292,1,1
1292,17,1
1292,19,2
1292,52,1
1294,9,1
1294,12,1
1294,14,1
1295,19,1
1295,20,1
1295,64,1
1296,19,1
1296,20,1
1297,1,1
1297,6,1
1298,39,1
1298,47,1
1300,12,1
1300,35,1
1300,57,1
1301,39,1
1304,17,1
1305,1,2
1305,18,1
1305,40,1
1305,58,1
1306,20,1
1308,1,1
1308,18,1
1308,20,1
1309,1,1
1309,20,1
1310,1,1
1311,17,1
1311,64,1
1312,16,1
1312,20,1
1312,24,1
1313,12,1
1313,27,1
1314,6,1
1314,20,1
1314,22,1
1314,26,2
