i,j,x
703,21,1
703,23,2
703,57,1
704,20,1
706,24,1
707,20,1
708,17,1
708,39,1
710,1,2
710,18,1
710,19,1
710,20,2
710,24,1
713,19,2
713,20,1
714,16,1
714,20,1
715,19,1
716,33,1
716,46,1
716,63,1
717,20,1
717,26,1
717,40,1
717,60,1
718,19,1
718,20,2
719,22,1
719,32,1
720,1,1
720,7,1
720,18,1
720,62,1
721,19,1
721,52,1
722,35,1
723,62,1
725,20,1
725,35,1
726,43,1
728,1,1
728,18,1
728,20,1
728,39,1
728,52,2
729,19,1
729,31,1
730,1,1
730,18,1
730,20,1
730,33,1
731,43,1
731,57,1
732,1,1
732,18,1
732,20,2
733,65,1
734,20,1
734,49,1
735,15,1
735,61,1
736,6,1
736,10,1
742,1,1
742,7,1
742,29,1
743,21,2
744,20,1
745,26,1
745,34,1
745,57,1
746,6,1
746,10,1
747,6,1
747,10,1
748,23,1
750,33,1
750,50,1
751,9,1
751,51,1
752,32,1
754,41,1
754,64,1
755,6,1
755,10,1
756,1,1
756,20,1
756,26,1
756,36,1
756,61,1
757,8,2
759,16,1
760,19,1
761,1,1
761,19,1
761,49,1
762,1,1
762,20,1
762,23,1
762,29,1
763,19,1
763,20,2
764,17,1
765,52,1
766,1,1
768,6,1
768,10,1
769,20,1
769,23,1
769,51,1
770,1,1
770,17,1
770,18,1
770,20,1
771,7,1
771,8,1
771,20,3
771,62,1
773,19,1
773,31,1
774,7,1
774,8,1
774,20,2
774,62,1
775,20,1
775,64,1
776,17,1
777,7,1
777,23,1
778,24,1
778,26,1
778,59,1
779,6,1
779,10,1
780,8,1
780,10,1
782,51,1
783,44,1
783,62,1
784,39,1
785,15,1
785,19,1
785,24,1
786,1,1
786,15,1
786,18,1
787,31,1
788,16,1
788,56,1
790,6,1
790,10,1
793,6,1
793,10,1
794,15,1
794,20,2
795,19,1
795,20,1
795,23,2
796,19,2
796,20,1
797,6,1
797,19,1
797,24,1
798,20,1
798,26,1
799,15,1
799,20,1
799,32,1
800,6,1
800,17,1
800,43,1
804,15,1
804,20,1
805,8,1
805,21,2
806,6,1
806,7,1
807,8,1
807,33,1
807,46,1
807,63,1
808,17,1
808,19,1
808,20,1
808,26,1
809,20,1
811,23,1
812,16,1
813,16,1
813,23,1
813,51,1
815,35,1
816,6,1
816,10,1
817,19,1
817,20,1
817,24,1
817,26,1
817,31,1
817,43,1
818,24,1
819,1,1
819,16,1
819,18,1
819,20,1
819,43,1
822,8,1
822,20,1
823,1,1
824,33,1
825,1,1
826,10,1
826,14,1
826,61,1
828,6,1
828,10,1
829,1,1
829,7,1
829,18,1
829,62,1
830,17,1
830,20,1
830,39,1
831,6,1
831,7,1
831,26,1
831,62,1
832,8,1
832,20,1
832,23,1
833,20,1
834,17,1
834,19,1
834,20,1
835,33,1
836,6,1
836,10,1
837,12,1
837,14,1
838,16,1
838,29,1
839,40,1
840,6,1
840,10,1
841,26,1
842,35,1
844,20,1
845,20,1
846,33,1
846,34,1
847,6,1
847,10,1
848,9,1
849,20,1
851,19,1
851,20,1
852,6,1
853,17,1
853,20,1
854,18,1
856,17,1
856,20,1
857,19,1
857,20,1
857,64,1
858,17,1
858,19,1
858,20,1
859,22,1
859,32,1
861,15,1
861,32,1
861,59,1
862,52,1
863,44,1
863,62,1
865,4,1
865,19,1
866,39,1
867,15,1
867,20,1
867,57,1
869,6,1
869,17,1
869,22,1
870,31,1
872,7,1
872,8,1
872,20,3
872,62,1
873,17,1
874,20,1
876,43,1
877,1,1
878,13,1
878,14,1
878,23,2
879,23,2
879,51,1
880,19,1
881,20,1
882,23,1
885,26,1
885,51,1
886,1,1
886,17,1
887,24,1
888,27,1
889,9,1
889,37,1
890,20,1
891,20,1
892,2,1
894,17,1
895,15,1
895,19,1
895,20,1
896,23,1
897,1,1
897,15,1
897,18,1
897,20,1
898,7,1
899,8,2
900,16,1
902,1,1
902,16,1
902,17,1
902,18,1
902,19,1
902,20,1
902,52,1
904,1,1
904,2,1
904,20,2
904,48,1
905,20,1
905,23,1
905,39,1
905,64,1
906,17,1
907,1,1
908,52,1
909,51,1
910,19,1
912,20,1
912,22,1
913,22,1
913,32,1
914,6,1
914,10,1
915,39,1
